"","DispoCode","Elev","Latitude","Succ2","Temp","Prec","SoilPCA","Elephant","VillDist","PopDensity","NightLights"
"132","NRI_P076",1.14648197502901,1.61718588841357,"Sec",-0.820460371472335,-0.400228816524534,-0.136575481585022,1,-0.659223291889508,3.16249367987375,5.70047700084301
"133","NRI_P077",0.63941944927105,0.646075766365094,"Sec",-0.640359314319877,-0.76193373065666,-0.136575481585022,1,-0.681959515378357,0.0633852654250409,-0.0916807178568966
"134","NRI_P078",0.32082264105145,-1.3050429582352,"Prm",-0.280157200014957,0.0809069654814062,2.54273910783674,1,-0.244235776177886,0.38458691282511,-0.160524183518941
"135","NRI_P080",0.854808840743456,1.2063739531476,"Prm",-0.640359314319877,-0.884776909041155,-0.136575481585022,1,3.0213286389121,-0.314730219211082,-0.356164613878568
"136","NRI_P081",0.720190471073202,0.957160023753079,"Prm",-0.730409842896104,-0.871127666998434,-0.136575481585022,1,0.467490008302441,-0.340033821472684,-0.254659252937296
"137","NRI_P082",0.670830402194109,1.43781104508462,"Prm",-0.640359314319877,-0.987146224361568,-0.136575481585022,1,2.2115077213858,-0.322560469839507,-0.424249113079491
"138","NRI_P083",0.733652308040227,0.856075979089209,"Prm",-0.640359314319877,-0.864303045977073,-0.136575481585022,1,1.23000770228077,-0.354034161708406,-0.397080919073856
"139","NRI_P084",0.612495775336999,0.917013540817189,"Prm",-0.460258257167415,-0.922312324658641,-0.136575481585022,1,2.04217493654405,-0.364510503995494,-0.348493912990319
"140","NRI_P085",0.738139587029236,1.0251685813816,"Prm",-0.640359314319877,-0.881364598530475,-0.136575481585022,1,2.67292979185211,-0.369359631578708,-0.288924831027386
"141","NRI_P086",0.84134700377643,1.10227651257411,"Prm",-0.730409842896104,-0.867715356487753,-0.136575481585022,1,3.03004837242688,-0.369660633953376,-0.311862651920737
"142","NRI_P087",0.738139587029236,1.35270797566949,"Prm",-0.640359314319877,-0.932549256190681,-0.136575481585022,NA,2.73306351012951,-0.334448317628741,-0.37134616525312
"143","NRI_P089",1.24071483379818,1.42051699322169,"Prm",-1.09061195720102,-0.778995283210062,-0.136575481585022,1,2.16394169716696,-0.238780693808656,-0.298607130112533
